Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feas_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
667FL_20A_21,25.0,67.1744,37.5261,104.7005,13.0,1157.0,798.0,4682.0,11.0,5491.0
667FL_20A_22,0.0,71.2718,65.4026,136.6744,13.0,1487.0,110.0,6359.0,12.0,6481.0
667FL_20A_23,75.0,147.5788,47.5129,195.0917,12.0,1246.0,817.0,4763.0,8.0,5588.0
667FL_20A_24,0.0,70.6082,59.2173,129.8255,14.0,1453.0,221.0,6578.0,13.0,6812.0
667FL_20A_25,0.0,74.9877,63.7347,138.7224,13.0,1345.0,350.0,4905.0,12.0,5267.0
667FL_20A_26,60.0,47.6568,36.4349,84.0917,11.0,794.0,100.0,4987.0,9.0,5096.0
667FL_20A_27,0.0,30.1049,23.3767,53.4816,12.0,489.0,74.0,2368.0,11.0,2453.0
667FL_20A_28,0.0,48.2401,32.0408,80.2809,8.0,680.0,179.0,3353.0,8.0,3540.0
667FL_20A_29,25.0,65.3778,59.8494,125.2272,14.0,1169.0,162.0,6249.0,12.0,6423.0
667FL_20A_30,5.0,76.5074,47.5155,124.0229,12.0,1232.0,551.0,5218.0,11.0,5780.0
AVERAGE,19.0,69.9508,47.2611,117.2119,12.2,1105.2,336.2,4946.2,10.7,5293.1
