Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feas_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
667FL_20A_21,25.0,58.0875,0.218,58.3055,13.0,1157.0,798.0,4682.0,11.0,5491.0
667FL_20A_22,0.0,54.5898,0.194,54.7838,14.0,1314.0,128.0,5915.0,13.0,6056.0
667FL_20A_23,75.0,98.6285,0.2339,98.8624,12.0,1246.0,817.0,4763.0,8.0,5588.0
667FL_20A_24,0.0,60.4729,0.228,60.7009,14.0,1366.0,212.0,6796.0,13.0,7021.0
667FL_20A_25,0.0,46.7033,0.1621,46.8654,12.0,1140.0,353.0,4876.0,12.0,5241.0
667FL_20A_26,60.0,31.0644,0.1084,31.1728,11.0,794.0,100.0,4987.0,9.0,5096.0
667FL_20A_27,0.0,20.8585,0.069,20.9275,12.0,489.0,74.0,2368.0,11.0,2453.0
667FL_20A_28,0.0,39.1446,0.1413,39.2859,9.0,1042.0,184.0,4381.0,9.0,4574.0
667FL_20A_29,25.0,30.6388,0.1019,30.7407,14.0,758.0,162.0,4357.0,12.0,4531.0
667FL_20A_30,5.0,58.8765,0.6126,59.4891,12.0,1232.0,551.0,5218.0,11.0,5780.0
AVERAGE,19.0,49.9065,0.2069,50.1134,12.3,1053.8,337.9,4834.3,10.9,5183.1
