Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feas_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
667FL_20A_21,25.0,59.4166,0.1947,59.6113,13.0,1157.0,798.0,4682.0,11.0,5491.0
667FL_20A_22,0.0,54.848,0.2055,55.0535,14.0,1314.0,128.0,5915.0,13.0,6056.0
667FL_20A_23,75.0,101.2414,0.1979,101.4393,12.0,1246.0,817.0,4763.0,8.0,5588.0
667FL_20A_24,0.0,66.5204,0.1891,66.7095,14.0,1366.0,212.0,6796.0,13.0,7021.0
667FL_20A_25,0.0,47.2633,0.1628,47.4261,12.0,1140.0,353.0,4876.0,12.0,5241.0
667FL_20A_26,60.0,42.5679,0.1446,42.7125,11.0,794.0,100.0,4987.0,9.0,5096.0
667FL_20A_27,0.0,22.2814,0.0693,22.3507,12.0,489.0,74.0,2368.0,11.0,2453.0
667FL_20A_28,0.0,59.3539,0.1858,59.5397,9.0,1042.0,184.0,4381.0,9.0,4574.0
667FL_20A_29,25.0,30.6653,0.095,30.7603,14.0,758.0,162.0,4357.0,12.0,4531.0
667FL_20A_30,5.0,75.322,0.1963,75.5183,12.0,1232.0,551.0,5218.0,11.0,5780.0
AVERAGE,19.0,55.948,0.1641,56.1121,12.3,1053.8,337.9,4834.3,10.9,5183.1
