Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feas_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
667FL_20A_21,25.0,59.2585,36.403,95.6615,13.0,1157.0,798.0,4682.0,11.0,5491.0
667FL_20A_22,0.0,71.1448,66.0719,137.2167,13.0,1487.0,110.0,6359.0,12.0,6481.0
667FL_20A_23,75.0,91.8808,41.431,133.3118,12.0,1246.0,817.0,4763.0,8.0,5588.0
667FL_20A_24,0.0,81.7218,69.7634,151.4852,14.0,1453.0,221.0,6578.0,13.0,6812.0
667FL_20A_25,0.0,70.7739,57.161,127.9349,13.0,1345.0,350.0,4905.0,12.0,5267.0
667FL_20A_26,60.0,45.4411,34.0775,79.5186,11.0,794.0,100.0,4987.0,9.0,5096.0
667FL_20A_27,0.0,25.4658,21.0264,46.4922,12.0,489.0,74.0,2368.0,11.0,2453.0
667FL_20A_28,0.0,41.958,35.3882,77.3462,8.0,680.0,179.0,3353.0,8.0,3540.0
667FL_20A_29,25.0,52.2148,49.2217,101.4365,14.0,1169.0,162.0,6249.0,12.0,6423.0
667FL_20A_30,5.0,66.1903,51.0133,117.2036,12.0,1232.0,551.0,5218.0,11.0,5780.0
AVERAGE,19.0,60.605,46.1557,106.7607,12.2,1105.2,336.2,4946.2,10.7,5293.1
