Instances,RF_Obj,RF_Time,RF_Iter,FO_Obj,FO_Time,FO_Iter,RFFO_Time,RFFO_Iter,Nbr_mtn,Nbr_sts_used
667FL_20A_11,5.0,369.4096,5.0,5.0,1.9201,5.0,371.3297,10.0,11.0,4.0
667FL_20A_12,25.0,1176.9986,5.0,5.0,302.1547,5.0,1479.1533,10.0,11.0,4.0
667FL_20A_13,85.0,572.0843,5.0,85.0,302.0354,5.0,874.1197,10.0,11.0,4.0
667FL_20A_14,30.0,536.8816,5.0,30.0,302.114,5.0,838.9956,10.0,10.0,4.0
667FL_20A_15,25.0,620.8791,5.0,25.0,2.2203,5.0,623.0994,10.0,10.0,4.0
667FL_20A_16,60.0,335.35,5.0,55.0,302.292,5.0,637.642,10.0,10.0,4.0
667FL_20A_17,95.0,576.5259,5.0,85.0,302.1853,5.0,878.7112,10.0,12.0,3.0
667FL_20A_18,45.0,963.0262,5.0,35.0,302.2749,5.0,1265.3011,10.0,10.0,3.0
667FL_20A_19,50.0,926.819,5.0,25.0,602.1993,5.0,1529.0183,10.0,11.0,3.0
667FL_20A_20,30.0,849.8053,5.0,0.0,382.7904,5.0,1232.5957,10.0,11.0,3.0
AVERAGE,45.0,692.778,5.0,35.0,280.2186,5.0,972.9966,10.0,10.7,3.6
