Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feas_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
354FL_8A_1,0.0,1.5615,0.0665,1.628,1.0,254.0,73.0,176.0,0.0,249.0
354FL_8A_2,0.0,1.5386,0.0076,1.5462,1.0,129.0,11.0,114.0,0.0,125.0
354FL_8A_3,0.0,0.8979,0.0003,0.8982,1.0,6.0,4.0,1.0,0.0,5.0
354FL_8A_4,35.0,0.864,0.0004,0.8644,1.0,6.0,0.0,5.0,0.0,5.0
354FL_8A_5,0.0,2.3391,0.0216,2.3607,1.0,368.0,49.0,315.0,0.0,364.0
354FL_8A_6,0.0,2.5149,0.0248,2.5397,1.0,406.0,90.0,314.0,0.0,404.0
354FL_8A_7,105.0,0.9106,0.0009,0.9115,1.0,17.0,0.0,16.0,0.0,16.0
354FL_8A_8,0.0,1.2746,0.0052,1.2798,1.0,99.0,63.0,35.0,0.0,98.0
354FL_8A_9,0.0,1.4233,0.0157,1.439,1.0,159.0,38.0,118.0,0.0,156.0
354FL_8A_10,0.0,0.6881,0.0008,0.6889,0.0,14.0,3.0,8.0,0.0,11.0
AVERAGE,14.0,1.4013,0.0144,1.4156,0.9,145.8,33.1,110.2,0.0,143.3
