Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feas_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
354FL_8A_1,0.0,2.8856,2.0177,4.9033,1.0,254.0,73.0,176.0,0.0,249.0
354FL_8A_2,0.0,2.311,1.0616,3.3726,1.0,129.0,11.0,114.0,0.0,125.0
354FL_8A_3,0.0,2.1068,0.0268,2.1336,1.0,6.0,4.0,1.0,0.0,5.0
354FL_8A_4,35.0,1.447,0.0378,1.4848,1.0,6.0,0.0,5.0,0.0,5.0
354FL_8A_5,0.0,3.723,2.8065,6.5295,1.0,368.0,49.0,315.0,0.0,364.0
354FL_8A_6,0.0,3.5815,2.8198,6.4013,1.0,406.0,90.0,314.0,0.0,404.0
354FL_8A_7,105.0,1.5482,0.1418,1.69,1.0,17.0,0.0,16.0,0.0,16.0
354FL_8A_8,0.0,2.2539,0.6606,2.9145,1.0,99.0,63.0,35.0,0.0,98.0
354FL_8A_9,0.0,2.3466,1.2956,3.6422,1.0,159.0,38.0,118.0,0.0,156.0
354FL_8A_10,0.0,1.8693,0.1341,2.0034,0.0,14.0,3.0,8.0,0.0,11.0
AVERAGE,14.0,2.4073,1.1002,3.5075,0.9,145.8,33.1,110.2,0.0,143.3
