Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feas_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
354FL_8A_1,0.0,5.1674,2.5852,7.7526,1.0,254.0,73.0,176.0,0.0,249.0
354FL_8A_2,0.0,4.3928,1.2709,5.6637,1.0,129.0,11.0,114.0,0.0,125.0
354FL_8A_3,0.0,3.3437,0.0282,3.3719,1.0,6.0,4.0,1.0,0.0,5.0
354FL_8A_4,35.0,3.304,0.0437,3.3477,1.0,6.0,0.0,5.0,0.0,5.0
354FL_8A_5,0.0,5.6579,3.0316,8.6895,1.0,368.0,49.0,315.0,0.0,364.0
354FL_8A_6,0.0,5.669,3.2496,8.9186,1.0,406.0,90.0,314.0,0.0,404.0
354FL_8A_7,105.0,3.3211,0.1609,3.482,1.0,17.0,0.0,16.0,0.0,16.0
354FL_8A_8,0.0,4.1184,0.7272,4.8456,1.0,99.0,63.0,35.0,0.0,98.0
354FL_8A_9,0.0,4.3771,1.7909,6.168,1.0,159.0,38.0,118.0,0.0,156.0
354FL_8A_10,0.0,3.3386,0.1245,3.4631,0.0,14.0,3.0,8.0,0.0,11.0
AVERAGE,14.0,4.269,1.3013,5.5703,0.9,145.8,33.1,110.2,0.0,143.3
