Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feas_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
354FL_8A_1,0.0,3.2257,0.0166,3.2423,1.0,254.0,73.0,176.0,0.0,249.0
354FL_8A_2,0.0,3.0746,0.0096,3.0842,1.0,129.0,11.0,114.0,0.0,125.0
354FL_8A_3,0.0,2.4039,0.0005,2.4044,1.0,6.0,4.0,1.0,0.0,5.0
354FL_8A_4,35.0,2.0645,0.0004,2.0649,1.0,6.0,0.0,5.0,0.0,5.0
354FL_8A_5,0.0,3.8086,0.0281,3.8367,1.0,368.0,49.0,315.0,0.0,364.0
354FL_8A_6,0.0,4.2048,0.027,4.2318,1.0,406.0,90.0,314.0,0.0,404.0
354FL_8A_7,105.0,2.199,0.001,2.2,1.0,17.0,0.0,16.0,0.0,16.0
354FL_8A_8,0.0,2.6838,0.0063,2.6901,1.0,99.0,63.0,35.0,0.0,98.0
354FL_8A_9,0.0,2.9226,0.0098,2.9324,1.0,159.0,38.0,118.0,0.0,156.0
354FL_8A_10,0.0,2.3297,0.0009,2.3306,0.0,14.0,3.0,8.0,0.0,11.0
AVERAGE,14.0,2.8917,0.01,2.9017,0.9,145.8,33.1,110.2,0.0,143.3
