Instances,RF_Obj,RF_Time,RF_Iter,FO_Obj,FO_Time,FO_Iter,RFFO_Time,RFFO_Iter,Nbr_mtn,Nbr_sts_used
354FL_8A_11,0.0,8.7905,5.0,0.0,0.0,0.0,8.7905,5.0,2.0,2.0
354FL_8A_12,10.0,12.5292,5.0,10.0,3.6186,5.0,16.1478,10.0,3.0,2.0
354FL_8A_13,0.0,10.6552,5.0,0.0,0.0,0.0,10.6552,5.0,3.0,2.0
354FL_8A_14,50.0,5.521,5.0,50.0,0.4109,5.0,5.9319,10.0,3.0,1.0
354FL_8A_15,0.0,10.1873,5.0,0.0,0.0,0.0,10.1873,5.0,3.0,2.0
354FL_8A_16,95.0,10.5415,5.0,95.0,0.7379,5.0,11.2794,10.0,3.0,2.0
354FL_8A_17,0.0,35.1531,5.0,0.0,0.0,0.0,35.1531,5.0,3.0,2.0
354FL_8A_18,50.0,5.0898,5.0,50.0,0.4453,5.0,5.5351,10.0,3.0,1.0
354FL_8A_19,0.0,13.4421,5.0,0.0,0.0,0.0,13.4421,5.0,3.0,2.0
354FL_8A_20,0.0,26.312,5.0,0.0,0.0,0.0,26.312,5.0,3.0,1.0
AVERAGE,20.5,13.8222,5.0,20.5,0.5213,2.0,14.3434,7.0,2.9,1.7
