Instances,RF_Obj,RF_Time,RF_Work_U,RF_Iter,FO_Obj,FO_Time,FO_Work_U,FO_Iter,RFFO_Time,RFFO_Work_U,RFFO_Iter,Nbr_mtn,Nbr_sts_used
354FL_8A_11,0.0,2.7996,2.3,5.0,0.0,0.0,0.0,0.0,2.7996,2.3,5.0,2.0,1.0
354FL_8A_12,10.0,12.0022,2.2,5.0,10.0,6.3175,11.1,5.0,18.3197,13.4,10.0,2.0,2.0
354FL_8A_13,0.0,4.8081,4.3,5.0,0.0,0.0,0.0,0.0,4.8081,4.3,5.0,2.0,1.0
354FL_8A_14,50.0,2.2468,1.7,5.0,50.0,0.4539,0.7,5.0,2.7007,2.4,10.0,3.0,2.0
354FL_8A_15,0.0,8.8448,13.7,5.0,0.0,0.0,0.0,0.0,8.8448,13.7,5.0,3.0,2.0
354FL_8A_16,95.0,5.9844,2.6,5.0,95.0,0.7399,1.1,5.0,6.7243,3.7,10.0,3.0,2.0
354FL_8A_17,0.0,3.3457,2.2,5.0,0.0,0.0,0.0,0.0,3.3457,2.2,5.0,3.0,1.0
354FL_8A_18,50.0,4.357,3.0,5.0,50.0,0.4929,0.7,5.0,4.8499,3.7,10.0,3.0,2.0
354FL_8A_19,0.0,8.805,8.5,5.0,0.0,0.0,0.0,0.0,8.805,8.5,5.0,3.0,2.0
354FL_8A_20,0.0,27.4577,1.3,5.0,0.0,0.0,0.0,0.0,27.4577,1.3,5.0,3.0,2.0
AVERAGE,20.5,8.0651,4.2,5.0,20.5,0.8004,1.4,2.0,8.8656,5.6,7.0,2.7,1.7
