Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Opt,Nbr_mtn,Nbr_sts_used
667FL_20A_1,0.0,2.0,10.0,0.0,0.0,0.0,1.318464e6,14390.3,1.0,8.0,4.0
667FL_20A_2,15.0,0.0,8.0,15.0,0.0,100.0,1.161123e6,18000.1,0.0,7.0,3.0
667FL_20A_3,20.0,0.0,9.0,20.0,0.0,100.0,1.263139e6,18000.1,0.0,7.0,3.0
667FL_20A_4,100.0,3.0,6.0,100.0,0.0,100.0,826669.0,18000.1,0.0,7.0,3.0
667FL_20A_5,50.0,3.0,8.0,50.0,0.0,100.0,1.836508e6,18000.1,0.0,8.0,2.0
667FL_20A_6,0.0,1.0,7.0,0.0,0.0,0.0,464726.0,8716.7,1.0,7.0,2.0
667FL_20A_7,0.0,3.0,7.0,0.0,0.0,0.0,250334.0,4381.3,1.0,8.0,2.0
667FL_20A_8,35.0,4.0,9.0,35.0,35.0,0.0,946612.0,16916.0,1.0,8.0,2.0
667FL_20A_9,20.0,1.0,4.0,20.0,20.0,0.0,76355.0,1441.7,1.0,8.0,4.0
667FL_20A_10,75.0,2.0,5.0,75.0,65.0,13.3,1.607608e6,18000.0,0.0,8.0,4.0
AVERAGE,31.5,1.9,7.3,31.5,12.0,41.3,975153.8,13584.6,0.5,7.6,2.9
