Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Opt,Nbr_mtn,Nbr_sts_used
354FL_8A_11,0.0,1.0,1.0,0.0,0.0,0.0,111.0,5.6,1.0,1.0,1.0
354FL_8A_12,35.0,3.0,1.0,35.0,35.0,0.0,2206.0,21.2,1.0,3.0,2.0
354FL_8A_13,0.0,0.0,2.0,0.0,0.0,0.0,3360.0,23.6,1.0,2.0,1.0
354FL_8A_14,50.0,0.0,2.0,50.0,50.0,0.0,3708.0,26.6,1.0,3.0,2.0
354FL_8A_15,15.0,0.0,1.0,15.0,0.0,100.0,1.0146487e7,18000.0,0.0,3.0,2.0
354FL_8A_16,95.0,1.0,2.0,95.0,95.0,0.0,3010.0,22.7,1.0,3.0,2.0
354FL_8A_17,85.0,1.0,4.0,85.0,85.0,0.0,11395.0,50.8,1.0,3.0,2.0
354FL_8A_18,50.0,1.0,3.0,50.0,50.0,0.0,119774.0,229.7,1.0,3.0,2.0
354FL_8A_19,65.0,1.0,3.0,65.0,65.0,0.0,27297.0,121.6,1.0,3.0,2.0
354FL_8A_20,20.0,1.0,2.0,20.0,0.0,100.0,8.305842e6,18000.0,0.0,3.0,2.0
AVERAGE,41.5,0.9,2.1,41.5,38.0,20.0,1.862319e6,3650.2,0.8,2.7,1.8
