Instances,RF_Obj,RF_Time,FO_Obj,FO_Time
667FL_20A_1,50.0,134.3673,15.0,121.8245
667FL_20A_2,15.0,110.1112,5.0,121.1829
667FL_20A_3,15.0,97.3898,5.0,77.6459
667FL_20A_4,14.99999999839066,150.0827,0.0,26.468
667FL_20A_5,75.0,180.9975,50.0,73.7084
667FL_20A_6,135.0,76.2046,15.0,62.2353
667FL_20A_7,55.0,98.4976,10.0,122.0267
667FL_20A_8,94.99999999032303,180.845,45.0,121.1522
667FL_20A_9,30.0,93.9841,30.0,121.4894
667FL_20A_10,14.99999999838019,173.0188,10.0,92.4413
