Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feas_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
667FL_20A_11,5.0,26.2226,0.1033,26.3259,12.0,664.0,48.0,3140.0,10.0,3198.0
667FL_20A_12,0.0,28.5452,0.1008,28.646,12.0,674.0,243.0,3221.0,11.0,3475.0
667FL_20A_13,85.0,55.5662,0.1788,55.745,12.0,1162.0,582.0,5425.0,8.0,6015.0
667FL_20A_14,30.0,44.3898,0.1613,44.5511,12.0,1034.0,225.0,4075.0,10.0,4310.0
667FL_20A_15,25.0,29.951,0.1179,30.0689,12.0,848.0,558.0,2909.0,10.0,3477.0
667FL_20A_16,50.0,67.6586,0.2928,67.9514,11.0,1418.0,698.0,4527.0,9.0,5234.0
667FL_20A_17,65.0,58.2428,0.18,58.4228,12.0,1001.0,532.0,3591.0,9.0,4132.0
667FL_20A_18,35.0,30.5493,0.1177,30.667,12.0,761.0,246.0,3489.0,10.0,3745.0
667FL_20A_19,20.0,35.9994,0.1398,36.1392,12.0,960.0,294.0,2650.0,10.0,2954.0
667FL_20A_20,0.0,33.789,0.1188,33.9078,12.0,907.0,262.0,3672.0,11.0,3945.0
AVERAGE,31.5,41.0914,0.1511,41.2425,11.9,942.9,368.8,3669.9,9.8,4048.5
