Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feas_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
667FL_20A_11,5.0,36.0297,33.2803,69.31,12.0,664.0,48.0,3140.0,10.0,3198.0
667FL_20A_12,0.0,35.0122,25.8563,60.8685,12.0,674.0,243.0,3221.0,11.0,3475.0
667FL_20A_13,85.0,65.5491,41.9397,107.4888,12.0,1162.0,582.0,5425.0,8.0,6015.0
667FL_20A_14,30.0,77.5383,50.7414,128.2797,12.0,1034.0,225.0,4075.0,10.0,4310.0
667FL_20A_15,25.0,50.1674,33.0399,83.2073,12.0,848.0,558.0,2909.0,10.0,3477.0
667FL_20A_16,50.0,97.4295,57.8897,155.3192,11.0,1418.0,698.0,4527.0,9.0,5234.0
667FL_20A_17,65.0,82.8956,35.2692,118.1648,12.0,1001.0,532.0,3591.0,9.0,4132.0
667FL_20A_18,35.0,42.0725,33.8337,75.9062,12.0,761.0,246.0,3489.0,10.0,3745.0
667FL_20A_19,20.0,48.2101,38.0472,86.2573,12.0,960.0,294.0,2650.0,10.0,2954.0
667FL_20A_20,0.0,50.9752,34.9284,85.9036,12.0,907.0,262.0,3672.0,11.0,3945.0
AVERAGE,31.5,58.588,38.4826,97.0705,11.9,942.9,368.8,3669.9,9.8,4048.5
