Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feas_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
667FL_20A_11,5.0,37.9026,34.5573,72.4599,12.0,664.0,48.0,3140.0,10.0,3198.0
667FL_20A_12,0.0,39.014,29.0655,68.0795,12.0,674.0,243.0,3221.0,11.0,3475.0
667FL_20A_13,85.0,75.1847,48.5192,123.7039,12.0,1162.0,582.0,5425.0,8.0,6015.0
667FL_20A_14,30.0,60.0102,49.1812,109.1914,12.0,1034.0,225.0,4075.0,10.0,4310.0
667FL_20A_15,25.0,41.9314,29.0762,71.0076,12.0,848.0,558.0,2909.0,10.0,3477.0
667FL_20A_16,50.0,66.6558,46.7687,113.4245,11.0,1418.0,698.0,4527.0,9.0,5234.0
667FL_20A_17,65.0,58.0896,33.4836,91.5732,12.0,1001.0,532.0,3591.0,9.0,4132.0
667FL_20A_18,35.0,36.4519,31.4753,67.9272,12.0,761.0,246.0,3489.0,10.0,3745.0
667FL_20A_19,20.0,53.556,44.2812,97.8372,12.0,960.0,294.0,2650.0,10.0,2954.0
667FL_20A_20,0.0,49.4157,33.7019,83.1176,12.0,907.0,262.0,3672.0,11.0,3945.0
AVERAGE,31.5,51.8212,38.011,89.8322,11.9,942.9,368.8,3669.9,9.8,4048.5
