Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feas_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
354FL_8A_21,35.0,1.8078,0.0174,1.8252,5.0,256.0,143.0,382.0,3.0,528.0
354FL_8A_22,0.0,8.1848,0.1019,8.2867,5.0,1679.0,660.0,1528.0,4.0,2192.0
354FL_8A_23,80.0,5.1066,0.0692,5.1758,5.0,881.0,168.0,1713.0,3.0,1884.0
354FL_8A_24,115.0,4.4364,0.0546,4.491,5.0,782.0,125.0,2064.0,3.0,2192.0
354FL_8A_25,0.0,2.9679,0.036,3.0039,4.0,438.0,106.0,855.0,4.0,965.0
354FL_8A_26,0.0,4.2205,0.0411,4.2616,5.0,611.0,232.0,701.0,4.0,937.0
354FL_8A_27,130.0,2.7165,0.0252,2.7417,4.0,437.0,75.0,1244.0,3.0,1322.0
354FL_8A_28,0.0,2.3899,0.0163,2.4062,5.0,247.0,98.0,359.0,4.0,461.0
354FL_8A_29,145.0,4.1077,0.0416,4.1493,5.0,733.0,360.0,1440.0,2.0,1802.0
354FL_8A_30,120.0,3.1066,0.031,3.1376,5.0,560.0,152.0,971.0,3.0,1126.0
AVERAGE,62.5,3.9045,0.0434,3.9479,4.8,662.4,211.9,1125.7,3.3,1340.9
