Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feas_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
354FL_8A_21,35.0,4.8246,1.9978,6.8224,5.0,256.0,143.0,382.0,3.0,528.0
354FL_8A_22,0.0,14.9394,13.0959,28.0353,5.0,1679.0,660.0,1528.0,4.0,2192.0
354FL_8A_23,80.0,9.8535,8.7896,18.6431,5.0,881.0,168.0,1713.0,3.0,1884.0
354FL_8A_24,115.0,9.1536,8.1295,17.2831,5.0,782.0,125.0,2064.0,3.0,2192.0
354FL_8A_25,0.0,7.8234,4.4894,12.3128,4.0,438.0,106.0,855.0,4.0,965.0
354FL_8A_26,0.0,7.8808,6.1291,14.0099,5.0,611.0,232.0,701.0,4.0,937.0
354FL_8A_27,130.0,6.2975,5.5843,11.8818,4.0,437.0,75.0,1244.0,3.0,1322.0
354FL_8A_28,0.0,5.7706,2.6588,8.4294,5.0,247.0,98.0,359.0,4.0,461.0
354FL_8A_29,145.0,9.3651,5.7162,15.0813,5.0,733.0,360.0,1440.0,2.0,1802.0
354FL_8A_30,120.0,7.2564,4.7801,12.0365,5.0,560.0,152.0,971.0,3.0,1126.0
AVERAGE,62.5,8.3165,6.1371,14.4536,4.8,662.4,211.9,1125.7,3.3,1340.9
