Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feas_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
354FL_8A_21,35.0,2.8538,1.7442,4.598,5.0,256.0,143.0,382.0,3.0,528.0
354FL_8A_22,0.0,11.6169,11.437,23.0539,5.0,1679.0,660.0,1528.0,4.0,2192.0
354FL_8A_23,80.0,7.0938,7.4766,14.5704,5.0,881.0,168.0,1713.0,3.0,1884.0
354FL_8A_24,115.0,7.6378,7.5066,15.1444,5.0,782.0,125.0,2064.0,3.0,2192.0
354FL_8A_25,0.0,5.0604,4.3847,9.4451,4.0,438.0,106.0,855.0,4.0,965.0
354FL_8A_26,0.0,5.5529,5.2648,10.8177,5.0,611.0,232.0,701.0,4.0,937.0
354FL_8A_27,130.0,4.1205,4.9449,9.0654,4.0,437.0,75.0,1244.0,3.0,1322.0
354FL_8A_28,0.0,3.4085,2.3775,5.786,5.0,247.0,98.0,359.0,4.0,461.0
354FL_8A_29,145.0,5.8513,4.3817,10.233,5.0,733.0,360.0,1440.0,2.0,1802.0
354FL_8A_30,120.0,4.8354,4.0032,8.8386,5.0,560.0,152.0,971.0,3.0,1126.0
AVERAGE,62.5,5.8031,5.3521,11.1552,4.8,662.4,211.9,1125.7,3.3,1340.9
