Instances,UB,LB,Gap,Nodes,Time,Opt,Nbr_mtn,Nbr_sts_used
354FL_8A_11,0.0,0.0,0.0,1,0.37,1,0,0
354FL_8A_12,0.0,0.0,0.0,1,1.59,1,1,1
354FL_8A_13,0.0,0.0,0.0,1,0.88,1,0,0
354FL_8A_14,50.0,50.0,0.0,1,0.57,1,1,1
354FL_8A_15,0.0,0.0,0.0,1,0.9,1,1,1
354FL_8A_16,34.99999999637726,0.0,100.0,30511,65.2,0,1,1
354FL_8A_17,0.0,0.0,0.0,1,1.11,1,1,1
354FL_8A_18,50.0,0.0,100.0,15646,47.29,0,1,1
354FL_8A_19,0.0,0.0,0.0,1,1.58,1,1,1
354FL_8A_20,0.0,0.0,0.0,2096,10.62,1,1,1
