Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feasi_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
354FL_8A_21,35.0,6.2419,0.0627,6.3046,5,695,300,1165,3,1468
354FL_8A_22,0.0,6.0766,0.0832,6.1598,5,861,534,1141,4,1679
354FL_8A_23,80.0,6.2465,0.0763,6.3228,5,1110,190,3085,3,3278
354FL_8A_24,115.0,10.4414,0.1312,10.5726,5,1439,552,4080,3,4635
354FL_8A_25,0.0,4.644,0.0564,4.7004,3,583,199,1555,3,1757
354FL_8A_26,0.0,13.7372,0.1635,13.9007,5,1784,1213,2809,4,4026
354FL_8A_27,130.0,12.2564,0.152,12.4084,5,1980,403,5182,3,5588
354FL_8A_28,0.0,37.7929,0.5506,38.3435,5,7003,3396,4970,4,8370
354FL_8A_29,145.0,11.7077,0.1811,11.8888,5,2141,922,4076,2,5000
354FL_8A_30,120.0,18.5884,0.2774,18.8658,5,3194,2217,3262,3,5482
