Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
354FL_8A_1,0,0,0,0.0,0.0,0.0,1165,3.16,1,1,1,1
354FL_8A_2,0,0,0,0.0,0.0,0.0,1990,3.07,1,1,1,1
354FL_8A_3,0,0,0,0.0,0.0,0.0,1,0.32,1,1,1,1
354FL_8A_4,35,0,0,35.0,35.0,0.0,1,0.3,1,1,1,1
354FL_8A_5,0,0,0,0.0,0.0,0.0,121,1.27,1,1,1,1
354FL_8A_6,0,0,0,0.0,0.0,0.0,1,1.06,1,1,1,1
354FL_8A_7,105,0,0,105.0,105.0,0.0,1,1.35,1,1,2,1
354FL_8A_8,0,0,0,0.0,0.0,0.0,1,1.37,1,1,1,1
354FL_8A_9,0,0,0,0.0,0.0,0.0,3991,8.82,1,1,1,1
354FL_8A_10,0,0,0,0.0,0.0,0.0,1,0.16,1,1,0,0
