Instances,RF_Obj,RF_Time,RF_Work_U,RF_Iter,FO_Obj,FO_Time,FO_Work_U,FO_Iter,RFFO_Time,RFFO_Work_U,RFFO_Iter,Nbr_mtn,Nbr_sts_used
354FL_8A_1,0.0,3.6487,0.7,5.0,0.0,0.0,0.0,0.0,3.6487,0.7,5.0,1.0,1.0
354FL_8A_2,0.0,4.0429,5.3,5.0,0.0,0.0,0.0,0.0,4.0429,5.3,5.0,1.0,1.0
354FL_8A_3,0.0,2.1009,0.9,5.0,0.0,0.0,0.0,0.0,2.1009,0.9,5.0,1.0,1.0
354FL_8A_4,35.0,0.8126,0.9,5.0,35.0,0.49,0.7,5.0,1.3026,1.6,10.0,1.0,1.0
354FL_8A_5,0.0,2.632,4.1,5.0,0.0,0.0,0.0,0.0,2.632,4.1,5.0,1.0,1.0
354FL_8A_6,0.0,1.8599,2.5,5.0,0.0,0.0,0.0,0.0,1.8599,2.5,5.0,1.0,1.0
354FL_8A_7,105.0,1.0032,0.9,5.0,105.0,0.6451,1.0,5.0,1.6483,1.9,10.0,1.0,1.0
354FL_8A_8,0.0,1.8392,0.9,5.0,0.0,0.0,0.0,0.0,1.8392,0.9,5.0,1.0,1.0
354FL_8A_9,0.0,1.992,0.9,5.0,0.0,0.0,0.0,0.0,1.992,0.9,5.0,1.0,1.0
354FL_8A_10,0.0,1.11,1.2,5.0,0.0,0.0,0.0,0.0,1.11,1.2,5.0,1.0,1.0
AVERAGE,14.0,2.1041,1.8,5.0,14.0,0.1135,0.2,1.0,2.2176,2.0,6.0,1.0,1.0
