Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Opt,Nbr_mtn,Nbr_sts_used
354FL_8A_11,90.0,0.0,1.0,0.0,0.0,0.0,815.0,11.1,1.0,1.0,1.0
354FL_8A_12,195.0,0.0,1.0,0.0,0.0,0.0,85.0,7.0,1.0,3.0,1.0
354FL_8A_13,66.0,0.0,2.0,0.0,0.0,0.0,1.0,2.3,1.0,2.0,1.0
354FL_8A_14,235.0,0.0,2.0,0.0,0.0,0.0,23.0,3.9,1.0,3.0,2.0
354FL_8A_15,286.0,0.0,4.0,0.0,0.0,0.0,1.0,5.1,1.0,3.0,2.0
354FL_8A_16,135.0,1.0,2.0,1.0,1.0,0.0,620.0,5.2,1.0,3.0,2.0
354FL_8A_17,255.0,0.0,3.0,0.0,0.0,0.0,1303.0,8.4,1.0,3.0,2.0
354FL_8A_18,145.0,0.0,3.0,0.0,0.0,0.0,1.0,3.9,1.0,3.0,2.0
354FL_8A_19,200.0,0.0,4.0,0.0,0.0,0.0,465.0,6.3,1.0,3.0,2.0
354FL_8A_20,130.0,0.0,2.0,0.0,0.0,0.0,215.0,4.3,1.0,3.0,2.0
AVERAGE,173.7,0.1,2.4,0.1,0.1,0.0,352.9,5.8,1.0,2.7,1.7
