Instances,UB,LB,Gap,Nodes,Time,Opt,Nbr_mtn,Nbr_sts_used
354FL_8A_1,0.0,0.0,0.0,2436,11.88,1,1,1
354FL_8A_2,0.0,0.0,0.0,739,3.13,1,1,1
354FL_8A_3,0.0,0.0,0.0,118,1.94,1,1,1
354FL_8A_4,35.0,35.0,0.0,1,0.33,1,1,1
354FL_8A_5,0.0,0.0,0.0,194,2.66,1,1,1
354FL_8A_6,0.0,0.0,0.0,32,1.7,1,1,1
354FL_8A_7,105.0,105.0,0.0,1,1.33,1,1,1
354FL_8A_8,0.0,0.0,0.0,180,1.74,1,1,1
354FL_8A_9,0.0,0.0,0.0,798,3.38,1,1,1
354FL_8A_10,0.0,0.0,0.0,57,1.65,1,0,0
