Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Opt,Nbr_mtn,Nbr_sts_used
354FL_8A_1,25.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0
354FL_8A_2,190.0,0.0,1.0,0.0,0.0,0.0,81.0,2.5,1.0,1.0,1.0
354FL_8A_3,65.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
354FL_8A_4,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,1.0,1.0,1.0
354FL_8A_5,65.0,0.0,1.0,0.0,0.0,0.0,1.0,1.7,1.0,1.0,1.0
354FL_8A_6,100.0,0.0,0.0,0.0,0.0,0.0,23.0,3.1,1.0,1.0,1.0
354FL_8A_7,105.0,1.0,0.0,1.0,1.0,0.0,1.0,0.6,1.0,1.0,1.0
354FL_8A_8,45.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8,1.0,1.0,1.0
354FL_8A_9,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,1.0,1.0,1.0
354FL_8A_10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,1.0,0.0,0.0
AVERAGE,65.6,0.1,0.4,0.1,0.1,0.0,11.2,1.4,1.0,0.9,0.9
