Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Opt,Nbr_mtn,Nbr_sts_used
354FL_8A_11,0,1,1,0.0,0.0,0.0,111,8.69,1,1,1
354FL_8A_12,35,3,1,35.0,35.0,0.0,2206,26.23,1,3,2
354FL_8A_13,0,0,2,0.0,0.0,0.0,3327,30.01,0,2,1
354FL_8A_14,60,0,2,60.0,50.0,16.67,2795,30.01,0,3,2
354FL_8A_15,900,11,3,900.0,0.0,100.0,40,7.18,0,3,2
354FL_8A_16,110,3,2,110.0,95.0,13.64,1,6.3,0,3,1
354FL_8A_17,445,6,4,445.0,0.0,100.0,1,5.16,0,3,2
354FL_8A_18,650,8,3,650.0,50.0,92.31,1,2.56,0,3,2
354FL_8A_19,440,6,4,440.0,0.0,100.0,13,7.34,0,3,1
354FL_8A_20,30,1,2,30.0,0.0,100.0,2020,20.4,0,3,2
