Instances,UB,MP_Time,SP_Time,Time,Nbr_iterations,Nbr_feasibility_cuts,Nbr_optimality_cuts,Nbr_cover_cuts,Nbr_cuts
354FL_8A_1,0.0,2.891,0.0138,2.9048,145,43,98,0,141
354FL_8A_2,0.0,1.3788,0.0152,1.394,154,20,131,0,151
354FL_8A_3,0.0,1.7695,0.028,1.7975,288,41,243,0,284
354FL_8A_4,35.0,0.0858,0.0006,0.0864,6,0,5,0,5
354FL_8A_5,0.0,1.5912,0.0231,1.6143,237,37,198,0,235
354FL_8A_6,0.0,3.7071,0.0661,3.7732,642,209,431,0,640
354FL_8A_7,105.0,0.2933,0.0017,0.295,17,0,16,0,16
354FL_8A_8,0.0,0.6011,0.0079,0.609,85,18,64,0,82
354FL_8A_9,0.0,5.7249,0.0979,5.8228,914,267,640,0,907
354FL_8A_10,0.0,0.3401,0.0035,0.3436,33,0,29,0,29
