Instances,RF_Obj,RF_Time,RF_Iter,FO_Obj,FO_Time,FO_Iter,RFFO_Time,RFFO_Iter,Nbr_mtn,Nbr_sts_used
667FL_20A_1,0.0,125.0958,5.0,0.0,0.0,0.0,125.0958,5.0,6.0,3.0
667FL_20A_2,0.0,143.2992,5.0,0.0,0.0,0.0,143.2992,5.0,7.0,2.0
667FL_20A_3,0.0,60.0379,5.0,0.0,0.0,0.0,60.0379,5.0,5.0,3.0
667FL_20A_4,15.0,651.1424,5.0,0.0,165.7525,5.0,816.8949,10.0,7.0,3.0
667FL_20A_5,50.0,352.8296,5.0,50.0,301.888,5.0,654.7176,10.0,6.0,2.0
667FL_20A_6,5.0,327.2742,5.0,5.0,302.4794,5.0,629.7536,10.0,6.0,3.0
667FL_20A_7,0.0,144.6029,5.0,0.0,0.0,0.0,144.6029,5.0,7.0,2.0
667FL_20A_8,35.0,432.3265,5.0,35.0,302.5833,5.0,734.9098,10.0,7.0,3.0
667FL_20A_9,20.0,226.0221,5.0,20.0,1.9661,5.0,227.9882,10.0,8.0,3.0
667FL_20A_10,0.0,304.4753,5.0,0.0,0.0,0.0,304.4753,5.0,8.0,2.0
AVERAGE,12.5,276.7106,5.0,11.0,107.4669,2.5,384.1775,7.5,6.7,2.6
