Instances,RF_Obj,RF_Time,RF_Work_U,RF_Iter,FO_Obj,FO_Time,FO_Work_U,FO_Iter,RFFO_Time,RFFO_Work_U,RFFO_Iter,Nbr_mtn,Nbr_sts_used
667FL_20A_1,35.0,405.8096,703.0,5.0,0.0,5.6511,5.8,5.0,411.4607,708.8,10.0,6.0,2.0
667FL_20A_2,0.0,183.7761,102.2,5.0,0.0,0.0,0.0,0.0,183.7761,102.2,5.0,6.0,3.0
667FL_20A_3,0.0,228.1758,187.6,5.0,0.0,0.0,0.0,0.0,228.1758,187.6,5.0,6.0,2.0
667FL_20A_4,0.0,235.3988,313.3,5.0,0.0,0.0,0.0,0.0,235.3988,313.3,5.0,7.0,3.0
667FL_20A_5,50.0,291.8169,196.6,5.0,50.0,181.5526,414.3,5.0,473.3695,610.9,10.0,7.0,1.0
667FL_20A_6,5.0,210.3638,51.2,5.0,5.0,181.6676,404.7,5.0,392.0314,455.9,10.0,7.0,3.0
667FL_20A_7,0.0,145.1354,249.7,5.0,0.0,0.0,0.0,0.0,145.1354,249.7,5.0,8.0,4.0
667FL_20A_8,40.0,402.3043,510.8,5.0,35.0,182.1109,399.2,5.0,584.4152,910.0,10.0,7.0,3.0
667FL_20A_9,25.0,238.3799,480.8,5.0,20.0,8.8025,12.7,5.0,247.1824,493.4,10.0,6.0,3.0
667FL_20A_10,10.0,214.1224,51.3,5.0,0.0,30.7624,46.3,5.0,244.8848,97.6,10.0,7.0,2.0
AVERAGE,16.5,255.5283,284.7,5.0,11.0,59.0547,128.3,3.0,314.583,413.0,8.0,6.7,2.6
