Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feasi_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
354FL_8A_11,0.0,3.331,0.0098,3.3408,1,99,16,140,1,157
354FL_8A_12,10.0,3.2261,0.0357,3.2618,3,495,170,978,0,1148
354FL_8A_13,0.0,6.4865,0.1024,6.5889,3,1074,306,1450,2,1758
354FL_8A_14,50.0,1.1182,0.0145,1.1327,3,171,82,279,1,362
354FL_8A_15,0.0,2.7437,0.0448,2.7885,3,474,184,433,2,619
354FL_8A_16,95.0,4.3073,0.0618,4.3691,3,659,192,1108,1,1301
354FL_8A_17,0.0,10.0027,0.1481,10.1508,3,1717,665,1696,2,2363
354FL_8A_18,50.0,3.0932,0.055,3.1482,3,543,22,1389,1,1412
354FL_8A_19,0.0,3.3438,0.0584,3.4022,3,678,121,587,2,710
354FL_8A_20,0.0,13.3901,0.189,13.5791,3,2081,1120,2005,2,3127
