Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,23,0,0,23.0,23.0,0.0,1938,0.09,1,1,1,1
127FL_5A_2,1,0,0,0.9999999997260716,1.0,0.0,365,0.06,1,1,1,1
127FL_5A_3,57,0,0,56.999997003107104,57.0,0.0,1467,0.11,1,1,2,2
127FL_5A_4,551,0,0,551.0,551.0,0.0,1,0.05,1,1,2,2
127FL_5A_5,238,0,0,237.99999997609618,238.0,0.0,1,0.04,1,1,2,1
127FL_5A_6,303,0,0,303.0,303.0,0.0,1,0.05,1,1,2,2
127FL_5A_7,47,0,0,47.0,47.0,0.0,2432,0.1,1,1,2,2
127FL_5A_8,479,0,0,479.0,479.0,0.0,1,0.05,1,1,2,2
127FL_5A_9,23,0,0,23.0,23.0,0.0,1,0.04,1,1,1,1
127FL_5A_10,215,0,0,215.0,215.0,0.0,103,0.06,1,1,2,2
