Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
354FL_8A_21,35,0,0,35.0,35.0,0.0,18468,48.08,1,1,5,2
354FL_8A_22,0,0,0,0.0,0.0,0.0,87002,193.72,1,1,5,2
354FL_8A_23,80,0,0,80.0,80.0,0.0,12233,51.95,1,1,3,2
354FL_8A_24,120,0,0,119.99999998789826,115.0,4.17,73231,133.09,1,0,5,2
354FL_8A_25,0,0,0,0.0,0.0,0.0,12315,34.81,1,1,3,2
354FL_8A_26,0,0,0,0.0,0.0,0.0,31700,74.24,1,1,5,2
354FL_8A_27,130,0,0,130.0,130.0,0.0,3645,11.62,1,1,3,2
354FL_8A_28,0,0,0,0.0,0.0,0.0,28248,58.26,1,1,5,2
354FL_8A_29,145,0,0,145.0,145.0,0.0,18534,17.95,1,1,5,2
354FL_8A_30,120,0,0,120.0,120.0,0.0,16006,33.27,1,1,5,2
