Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Opt,Nbr_mtn,Nbr_sts_used
354FL_8A_1,85.0,2.0,0.0,0.0,0.0,0.0,1.0,1.6,1.0,1.0,1.0
354FL_8A_2,56.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,1.0,1.0,1.0
354FL_8A_3,10.0,2.0,0.0,0.0,0.0,0.0,6255.0,36.1,1.0,1.0,1.0
354FL_8A_4,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0
354FL_8A_5,65.0,0.0,0.0,0.0,0.0,0.0,176.0,3.0,1.0,1.0,1.0
354FL_8A_6,75.0,2.0,0.0,0.0,0.0,0.0,1.0,0.8,1.0,1.0,1.0
354FL_8A_7,105.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0
354FL_8A_8,35.0,0.0,0.0,0.0,0.0,0.0,44494.0,107.7,1.0,1.0,1.0
354FL_8A_9,56.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,1.0,1.0,1.0
354FL_8A_10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,1.0,0.0,0.0
AVERAGE,52.2,0.7,0.0,0.0,0.0,0.0,5093.2,15.4,1.0,0.9,0.9
