Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feas_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
354FL_8A_11,0.0,2.8229,0.0062,2.8291,1.0,99.0,16.0,140.0,1.0,157.0
354FL_8A_12,10.0,4.3073,0.0296,4.3369,3.0,435.0,125.0,859.0,1.0,985.0
354FL_8A_13,0.0,4.7265,0.0459,4.7724,3.0,434.0,119.0,416.0,2.0,537.0
354FL_8A_14,50.0,3.4804,0.014,3.4944,3.0,183.0,75.0,292.0,1.0,368.0
354FL_8A_15,0.0,2.8076,0.0056,2.8132,3.0,85.0,32.0,92.0,2.0,126.0
354FL_8A_16,95.0,3.7231,0.0209,3.744,3.0,346.0,79.0,583.0,1.0,663.0
354FL_8A_17,0.0,3.5859,0.0114,3.5973,3.0,167.0,51.0,150.0,2.0,203.0
354FL_8A_18,50.0,6.6758,0.0653,6.7411,3.0,1001.0,18.0,2009.0,1.0,2028.0
354FL_8A_19,0.0,3.8661,0.0336,3.8997,3.0,384.0,61.0,339.0,2.0,402.0
354FL_8A_20,0.0,9.2202,0.1012,9.3214,3.0,1461.0,838.0,1361.0,2.0,2201.0
AVERAGE,20.5,4.5216,0.0334,4.555,2.8,459.5,141.4,624.1,1.5,767.0
