Instances,RF_Obj,RF_Time,RF_Iter,FO_Obj,FO_Time,FO_Iter,RFFO_Time,RFFO_Iter,Nbr_mtn,Nbr_sts_used
667FL_20A_21,25.0,671.5162,5.0,25.0,302.2668,5.0,973.783,10.0,12.0,3.0
667FL_20A_22,90.0,954.9058,5.0,0.0,340.1483,5.0,1295.0541,10.0,12.0,4.0
667FL_20A_23,65.0,433.7601,5.0,65.0,302.3433,5.0,736.1034,10.0,13.0,4.0
667FL_20A_24,150.0,924.5536,5.0,0.0,346.12,5.0,1270.6736,10.0,13.0,3.0
667FL_20A_25,5.0,1046.0652,5.0,0.0,343.8008,5.0,1389.866,10.0,11.0,3.0
667FL_20A_26,60.0,853.9821,5.0,60.0,302.172,5.0,1156.1541,10.0,9.0,4.0
667FL_20A_27,0.0,483.8187,5.0,0.0,0.0,0.0,483.8187,5.0,8.0,3.0
667FL_20A_28,0.0,145.8298,5.0,0.0,0.0,0.0,145.8298,5.0,8.0,3.0
667FL_20A_29,25.0,501.4841,5.0,25.0,79.1069,5.0,580.591,10.0,8.0,3.0
667FL_20A_30,25.0,394.1561,5.0,25.0,302.4637,5.0,696.6198,10.0,8.0,2.0
AVERAGE,44.5,641.0072,5.0,20.0,231.8422,4.0,872.8494,9.0,10.2,3.2
