Instances,RF_Obj,RF_Time,RF_Work_U,RF_Iter,FO_Obj,FO_Time,FO_Work_U,FO_Iter,RFFO_Time,RFFO_Work_U,RFFO_Iter,Nbr_mtn,Nbr_sts_used
667FL_20A_21,50.0,952.4252,1233.5,5.0,45.0,601.7779,1211.6,5.0,1554.2031,2445.1,10.0,11.0,3.0
667FL_20A_22,0.0,358.7268,637.6,5.0,0.0,0.0,0.0,0.0,358.7268,637.6,5.0,10.0,4.0
667FL_20A_23,80.0,461.7434,276.6,5.0,80.0,302.0442,594.4,5.0,763.7876,871.0,10.0,12.0,3.0
667FL_20A_24,20.0,899.2007,1853.9,5.0,0.0,637.1694,1510.6,5.0,1536.3701,3364.5,10.0,13.0,3.0
667FL_20A_25,25.0,639.8828,764.6,5.0,0.0,168.7753,360.3,5.0,808.6581,1124.9,10.0,11.0,3.0
667FL_20A_26,60.0,949.2335,1495.7,5.0,60.0,302.0736,749.5,5.0,1251.3071,2245.2,10.0,10.0,3.0
667FL_20A_27,5.0,639.8026,1046.3,5.0,0.0,11.7732,19.0,5.0,651.5758,1065.3,10.0,8.0,2.0
667FL_20A_28,0.0,244.9841,184.4,5.0,0.0,0.0,0.0,0.0,244.9841,184.4,5.0,7.0,3.0
667FL_20A_29,40.0,835.0283,1283.4,5.0,30.0,1201.8731,2563.3,5.0,2036.9014,3846.7,10.0,10.0,3.0
667FL_20A_30,0.0,458.017,281.8,5.0,0.0,0.0,0.0,0.0,458.017,281.8,5.0,9.0,3.0
AVERAGE,28.0,643.9044,905.8,5.0,21.5,322.5487,700.9,3.5,966.4531,1606.6,8.5,10.1,3.0
