Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Opt,Nbr_mtn,Nbr_sts_used
667FL_20A_1,420.0,0.0,9.0,0.0,0.0,0.0,28897.0,754.7,1.0,8.0,4.0
667FL_20A_2,451.0,0.0,11.0,0.0,0.0,0.0,1.0,39.3,1.0,8.0,4.0
667FL_20A_3,385.0,0.0,9.0,0.0,0.0,0.0,14768.0,575.4,1.0,7.0,2.0
667FL_20A_4,350.0,0.0,8.0,0.0,0.0,0.0,15800.0,635.5,1.0,8.0,3.0
667FL_20A_5,370.0,0.0,7.0,0.0,0.0,0.0,8029.0,183.4,1.0,8.0,3.0
667FL_20A_6,340.0,0.0,5.0,0.0,0.0,0.0,88.0,87.4,1.0,7.0,2.0
667FL_20A_7,430.0,0.0,6.0,0.0,0.0,0.0,101311.0,2030.9,1.0,8.0,4.0
667FL_20A_8,470.0,0.0,6.0,0.0,0.0,0.0,1715.0,309.0,1.0,8.0,3.0
667FL_20A_9,345.0,0.0,7.0,0.0,0.0,0.0,5409.0,115.9,1.0,8.0,4.0
667FL_20A_10,290.0,0.0,6.0,0.0,0.0,0.0,7498.0,185.2,1.0,8.0,3.0
AVERAGE,385.1,0.0,7.4,0.0,0.0,0.0,18351.6,491.7,1.0,7.8,3.2
