Instances,RF_Obj,RF_Time,FO_Obj,FO_Time
354FL_8A_1,0.0,1.4167,0.0,0.0
354FL_8A_2,0.0,1.535,0.0,0.0
354FL_8A_3,0.0,1.8358,0.0,0.0
354FL_8A_4,35.0,0.7503,35.0,0.4369
354FL_8A_5,0.0,1.5562,0.0,0.0
354FL_8A_6,25.0,60.631,0.0,0.6752
354FL_8A_7,105.0,2.1946,105.0,0.9201
354FL_8A_8,0.0,1.9514,0.0,0.0
354FL_8A_9,0.0,1.9871,0.0,0.0
354FL_8A_10,0.0,1.4333,0.0,0.0
