Instances,UB,LB,Gap,Nodes,Time,Opt,Nbr_mtn,Nbr_sts_used
354FL_8A_1,0.0,0.0,0.0,1,1.11,1,1,1
354FL_8A_2,0.0,0.0,0.0,1,1.18,1,1,1
354FL_8A_3,0.0,0.0,0.0,1,1.51,1,1,1
354FL_8A_4,35.0,35.0,0.0,1,0.32,1,1,1
354FL_8A_5,0.0,0.0,0.0,15,1.27,1,1,1
354FL_8A_6,0.0,0.0,0.0,168,2.04,1,1,1
354FL_8A_7,105.0,105.0,0.0,130,2.49,1,1,1
354FL_8A_8,0.0,0.0,0.0,1,1.2,1,1,1
354FL_8A_9,0.0,0.0,0.0,663,3.21,1,1,1
354FL_8A_10,0.0,0.0,0.0,1,0.9,1,1,1
