Instances,RF_Obj,RF_Time,CM_Obj,CM_Time,LB,Gap,Nodes,Opt,Nbr_mtn,Nbr_sts_used
354FL_8A_1,0.0,2.7583,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
354FL_8A_2,14.999999886395926,32.3416,0.0,2.51,0.0,0.0,467,1,1,1
354FL_8A_3,0.0,4.1294,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
354FL_8A_4,35.0,1.5562,35.0,0.35,35.0,0.0,1,1,1,1
354FL_8A_5,0.0,2.7767,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
354FL_8A_6,0.0,4.2678,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
354FL_8A_7,105.0,2.2722,105.0,2.04,105.0,0.0,5,1,1,1
354FL_8A_8,0.0,2.347,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
354FL_8A_9,0.0,6.6076,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
354FL_8A_10,0.0,1.9485,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
