Instances,RF_Obj,RF_Time,RF_Iter,FO_Obj,FO_Time,FO_Iter,RFFO_Time,RFFO_Iter,Nbr_mtn,Nbr_sts_used
354FL_8A_21,35.0,20.9464,5.0,35.0,0.5227,5.0,21.4691,10.0,5.0,2.0
354FL_8A_22,0.0,21.6139,5.0,0.0,0.0,0.0,21.6139,5.0,5.0,2.0
354FL_8A_23,80.0,12.254,5.0,80.0,0.6085,5.0,12.8625,10.0,4.0,2.0
354FL_8A_24,115.0,18.2494,5.0,115.0,0.6722,5.0,18.9216,10.0,5.0,2.0
354FL_8A_25,0.0,8.1985,5.0,0.0,0.0,0.0,8.1985,5.0,5.0,2.0
354FL_8A_26,0.0,19.9918,5.0,0.0,0.0,0.0,19.9918,5.0,5.0,2.0
354FL_8A_27,130.0,14.9159,5.0,130.0,0.7775,5.0,15.6934,10.0,5.0,2.0
354FL_8A_28,0.0,18.1606,5.0,0.0,0.0,0.0,18.1606,5.0,5.0,2.0
354FL_8A_29,145.0,9.3719,5.0,145.0,0.6931,5.0,10.065,10.0,5.0,2.0
354FL_8A_30,120.0,22.7739,5.0,120.0,0.9779,5.0,23.7518,10.0,5.0,2.0
AVERAGE,62.5,16.6476,5.0,62.5,0.4252,3.0,17.0728,8.0,4.9,2.0
