Instances,RF_Obj,RF_Time,RF_Work_U,RF_Iter,FO_Obj,FO_Time,FO_Work_U,FO_Iter,RFFO_Time,RFFO_Work_U,RFFO_Iter,Nbr_mtn,Nbr_sts_used
354FL_8A_21,35.0,14.448,10.6,5.0,35.0,0.4789,0.7,5.0,14.9269,11.3,10.0,5.0,2.0
354FL_8A_22,0.0,16.9146,14.1,5.0,0.0,0.0,0.0,0.0,16.9146,14.1,5.0,5.0,2.0
354FL_8A_23,80.0,13.107,7.3,5.0,80.0,0.5585,0.8,5.0,13.6655,8.1,10.0,5.0,2.0
354FL_8A_24,115.0,21.8586,33.2,5.0,115.0,0.5836,0.8,5.0,22.4422,34.0,10.0,5.0,2.0
354FL_8A_25,0.0,16.7137,6.5,5.0,0.0,0.0,0.0,0.0,16.7137,6.5,5.0,4.0,2.0
354FL_8A_26,0.0,20.6752,21.0,5.0,0.0,0.0,0.0,0.0,20.6752,21.0,5.0,5.0,2.0
354FL_8A_27,130.0,11.1148,18.5,5.0,130.0,0.7742,1.1,5.0,11.889,19.6,10.0,5.0,2.0
354FL_8A_28,5.0,61.6496,112.6,5.0,0.0,83.6704,153.4,5.0,145.32,266.0,10.0,5.0,2.0
354FL_8A_29,145.0,6.2954,9.2,5.0,145.0,0.6384,1.0,5.0,6.9338,10.2,10.0,5.0,2.0
354FL_8A_30,125.0,87.996,137.7,5.0,120.0,6.5714,11.2,5.0,94.5674,148.9,10.0,5.0,2.0
AVERAGE,63.5,27.0773,37.1,5.0,62.5,9.3275,16.9,3.5,36.4048,54.0,8.5,4.9,2.0
