Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feas_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
667FL_20A_1,0.0,6.1874,0.016,6.2034,8.0,100.0,5.0,342.0,7.0,354.0
667FL_20A_2,0.0,25.1078,0.0875,25.1953,7.0,528.0,278.0,1152.0,6.0,1436.0
667FL_20A_3,0.0,11.8331,0.0402,11.8733,8.0,246.0,118.0,541.0,7.0,666.0
667FL_20A_4,0.0,11.5039,0.0361,11.54,8.0,189.0,82.0,563.0,7.0,652.0
667FL_20A_5,50.0,10.2426,0.0299,10.2725,7.0,177.0,5.0,592.0,6.0,603.0
667FL_20A_6,0.0,28.982,0.1071,29.0891,8.0,674.0,335.0,1149.0,7.0,1491.0
667FL_20A_7,0.0,17.8192,0.1291,17.9483,7.0,421.0,28.0,918.0,6.0,952.0
667FL_20A_8,35.0,25.9846,0.1056,26.0902,8.0,563.0,109.0,1595.0,6.0,1710.0
667FL_20A_9,20.0,9.81,0.0281,9.8381,8.0,184.0,74.0,528.0,6.0,608.0
667FL_20A_10,0.0,9.8818,0.0377,9.9195,8.0,205.0,43.0,379.0,7.0,429.0
AVERAGE,10.5,15.7352,0.0617,15.797,7.7,328.7,107.7,775.9,6.5,890.1
