Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feas_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
667FL_20A_1,0.0,4.5423,0.0185,4.5608,8.0,100.0,5.0,342.0,7.0,354.0
667FL_20A_2,0.0,20.3788,0.0744,20.4532,7.0,528.0,278.0,1152.0,6.0,1436.0
667FL_20A_3,0.0,9.8837,0.0357,9.9194,8.0,246.0,118.0,541.0,7.0,666.0
667FL_20A_4,0.0,7.5684,0.025,7.5934,8.0,189.0,82.0,563.0,7.0,652.0
667FL_20A_5,50.0,8.2031,0.0256,8.2287,7.0,177.0,5.0,592.0,6.0,603.0
667FL_20A_6,0.0,26.5201,0.1014,26.6215,8.0,674.0,335.0,1149.0,7.0,1491.0
667FL_20A_7,0.0,15.6478,0.0585,15.7063,7.0,421.0,28.0,918.0,6.0,952.0
667FL_20A_8,35.0,21.1161,0.0853,21.2014,8.0,563.0,109.0,1595.0,6.0,1710.0
667FL_20A_9,20.0,7.3907,0.0233,7.414,8.0,184.0,74.0,528.0,6.0,608.0
667FL_20A_10,0.0,7.2339,0.0274,7.2613,8.0,205.0,43.0,379.0,7.0,429.0
AVERAGE,10.5,12.8485,0.0475,12.896,7.7,328.7,107.7,775.9,6.5,890.1
