Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feas_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
667FL_20A_1,0.0,8.0175,5.6554,13.6729,8.0,100.0,5.0,342.0,7.0,354.0
667FL_20A_2,0.0,35.5429,20.4595,56.0024,7.0,528.0,278.0,1152.0,6.0,1436.0
667FL_20A_3,0.0,15.3429,10.316,25.6589,8.0,246.0,118.0,541.0,7.0,666.0
667FL_20A_4,0.0,12.4715,8.2613,20.7328,8.0,189.0,82.0,563.0,7.0,652.0
667FL_20A_5,50.0,13.0126,8.8818,21.8944,7.0,177.0,5.0,592.0,6.0,603.0
667FL_20A_6,0.0,35.2188,26.7818,62.0006,8.0,674.0,335.0,1149.0,7.0,1491.0
667FL_20A_7,0.0,27.2497,21.064,48.3137,7.0,421.0,28.0,918.0,6.0,952.0
667FL_20A_8,35.0,32.8514,29.8072,62.6586,8.0,563.0,109.0,1595.0,6.0,1710.0
667FL_20A_9,20.0,13.6626,9.3499,23.0125,8.0,184.0,74.0,528.0,6.0,608.0
667FL_20A_10,0.0,13.0424,8.6159,21.6583,8.0,205.0,43.0,379.0,7.0,429.0
AVERAGE,10.5,20.6412,14.9193,35.5605,7.7,328.7,107.7,775.9,6.5,890.1
