Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Opt,Nbr_mtn,Nbr_sts_used
354FL_8A_11,5.0,1.0,0.0,0.0,0.0,0.0,10358.0,44.8,1.0,1.0,1.0
354FL_8A_12,525.0,7.0,0.0,0.0,0.0,0.0,164.0,8.4,1.0,3.0,2.0
354FL_8A_13,165.0,0.0,0.0,0.0,0.0,0.0,8039.0,50.0,1.0,2.0,1.0
354FL_8A_14,190.0,0.0,0.0,0.0,0.0,0.0,52246.0,165.5,1.0,3.0,2.0
354FL_8A_15,185.0,1.0,0.0,0.0,0.0,0.0,9444.0,59.0,1.0,3.0,2.0
354FL_8A_16,110.0,2.0,0.0,0.0,0.0,0.0,103640.0,246.4,1.0,3.0,2.0
354FL_8A_17,165.0,0.0,1.0,1.0,1.0,0.0,1429.0,26.6,1.0,3.0,2.0
354FL_8A_18,240.0,1.0,0.0,0.0,0.0,0.0,2614.0,18.0,1.0,3.0,2.0
354FL_8A_19,190.0,0.0,1.0,1.0,0.0,100.0,1.333706e7,18000.0,0.0,3.0,2.0
354FL_8A_20,295.0,1.0,0.0,0.0,0.0,0.0,7933.0,55.9,1.0,3.0,1.0
AVERAGE,207.0,1.3,0.2,0.2,0.1,10.0,1.3532927e6,1867.5,0.9,2.7,1.7
