Instances,RF_Obj,RF_Time,FO_Obj,FO_Time
354FL_8A_21,35.0,30.6812,35.0,0.9872
354FL_8A_22,0.0,33.4926,0.0,0.0
354FL_8A_23,80.0,19.1376,80.0,1.6115
354FL_8A_24,115.0,27.5716,115.0,1.1947
354FL_8A_25,0.0,12.5859,0.0,0.0
354FL_8A_26,0.0,29.3119,0.0,0.0
354FL_8A_27,130.0,22.7854,130.0,1.3698
354FL_8A_28,0.0,26.3003,0.0,0.0
354FL_8A_29,145.0,12.9224,145.0,1.2433
354FL_8A_30,120.0,35.2061,120.0,2.0178
