Instances,RF_Obj,RF_Time,FO_Obj,FO_Time
354FL_8A_21,35.0,22.9411,35.0,0.471
354FL_8A_22,0.0,17.579,0.0,0.0
354FL_8A_23,80.0,15.8241,80.0,0.785
354FL_8A_24,160.0,26.7209,120.0,27.0172
354FL_8A_25,0.0,8.0157,0.0,0.0
354FL_8A_26,5.0,32.57,0.0,0.8387
354FL_8A_27,135.0,32.8687,130.0,3.5377
354FL_8A_28,30.0,54.4234,0.0,43.1877
354FL_8A_29,150.0,17.5826,145.0,2.1254
354FL_8A_30,120.0,23.8711,120.0,1.2166
