Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Opt,Nbr_mtn,Nbr_sts_used
667FL_20A_1,1045.0,8.0,1.0,1.0,0.0,100.0,1.377571e6,18000.1,0.0,8.0,3.0
667FL_20A_2,345.0,2.0,2.0,2.0,0.0,100.0,1.129859e6,18000.0,0.0,7.0,2.0
667FL_20A_3,650.0,3.0,3.0,3.0,0.0,100.0,1.353912e6,18000.0,0.0,7.0,4.0
667FL_20A_4,925.0,8.0,1.0,1.0,0.0,100.0,1.952091e6,18000.1,0.0,7.0,2.0
667FL_20A_5,935.0,4.0,1.0,1.0,0.0,100.0,1.183541e6,18000.1,0.0,8.0,3.0
667FL_20A_6,365.0,2.0,0.0,0.0,0.0,0.0,809032.0,11680.6,1.0,7.0,3.0
667FL_20A_7,865.0,5.0,1.0,1.0,0.0,100.0,1.263922e6,18000.1,0.0,8.0,2.0
667FL_20A_8,810.0,8.0,1.0,1.0,0.0,100.0,2.053083e6,18000.1,0.0,8.0,3.0
667FL_20A_9,400.0,4.0,0.0,0.0,0.0,0.0,34078.0,914.5,1.0,8.0,4.0
667FL_20A_10,370.0,2.0,1.0,1.0,1.0,0.0,602535.0,8653.4,1.0,8.0,3.0
AVERAGE,671.0,4.6,1.1,1.1,0.1,70.0,1.1759624e6,14724.9,0.3,7.6,2.9
