Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Opt,Nbr_mtn,Nbr_sts_used
354FL_8A_1,0.0,0.0,0.0,0.0,0.0,0.0,1743.0,18.5,1.0,1.0,1.0
354FL_8A_2,0.0,1.0,0.0,0.0,0.0,0.0,92.0,2.8,1.0,1.0,1.0
354FL_8A_3,0.0,1.0,1.0,0.0,0.0,0.0,15.0,2.6,1.0,1.0,1.0
354FL_8A_4,35.0,0.0,0.0,35.0,35.0,0.0,1.0,0.7,1.0,1.0,1.0
354FL_8A_5,0.0,1.0,2.0,0.0,0.0,0.0,2962.0,11.0,1.0,1.0,1.0
354FL_8A_6,0.0,0.0,0.0,0.0,0.0,0.0,3484.0,22.1,1.0,1.0,1.0
354FL_8A_7,105.0,1.0,0.0,105.0,105.0,0.0,1.0,0.8,1.0,1.0,1.0
354FL_8A_8,0.0,0.0,1.0,0.0,0.0,0.0,2724.0,16.7,1.0,1.0,1.0
354FL_8A_9,15.0,0.0,0.0,15.0,0.0,100.0,7.969719e6,18000.0,0.0,1.0,1.0
354FL_8A_10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,1.0,0.0,0.0
AVERAGE,15.5,0.4,0.4,15.5,14.0,10.0,798074.2,1807.6,0.9,0.9,0.9
