Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
152FL_8A_1,0,0,0,0.0,0.0,0.0,1,0.59,1,1,0,0
152FL_8A_2,0,3,-1,0.0,0.0,0.0,428,2.71,0,1,1,1
152FL_8A_3,0,3,0,0.0,0.0,0.0,1,0.6,1,1,1,1
152FL_8A_4,0,3,-1,0.0,0.0,0.0,1,1.33,0,1,1,1
152FL_8A_5,0,3,0,0.0,0.0,0.0,289,2.29,1,1,1,1
152FL_8A_6,0,2,-1,0.0,0.0,0.0,275,1.93,0,1,1,1
152FL_8A_7,0,4,0,0.0,0.0,0.0,81,1.47,1,1,1,1
152FL_8A_8,0,1,0,0.0,0.0,0.0,5,2.79,1,1,1,1
152FL_8A_9,0,0,0,0.0,0.0,0.0,1,0.31,1,1,0,0
152FL_8A_10,0,3,0,0.0,0.0,0.0,400,2.95,1,1,1,1
